importer,archive,scope,caller_class,symbol,reference_kinds,lines
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,is_mode_line,string_symbol_reference,97
experiments/foundry_shape_extractor.py,False,legacy_executable,operator/CLI,load_corpus_gated,qualified_attribute,419
experiments/foundry_slug_reparse.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,51
experiments/foundry_slug_reparse.py,False,legacy_executable,codebook or membership mutation,REPO_ROOT,qualified_attribute,50
experiments/foundry_slug_reparse.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,69;120
experiments/foundry_slug_reparse.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,85
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,CONFIG_SEMANTIC,qualified_attribute,72;113
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,66
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,batch_paths,qualified_attribute,69
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,build_review_card_record,qualified_attribute,247
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,condense_definition_for_prompt,qualified_attribute,109
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,412;433;444;459;470;472;483;508;517;631;634
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,514
experiments/foundry_stage1b.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,528;617;653
experiments/foundry_system_map.py,False,legacy_executable,codebook or membership mutation,load_corpus_gated,qualified_attribute,55
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,CONFIG_SEMANTIC,qualified_attribute,69
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,64
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,det_scan_texts,qualified_attribute,266
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,full_oracle_text,qualified_attribute,266
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,225;510;703;710
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,233
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,resolve_name,qualified_attribute,208
experiments/foundry_verify_migration.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,484;707
experiments/foundry_w3_census.py,False,legacy_executable,reporter/census,halt,qualified_attribute,401
experiments/foundry_w3_census.py,False,legacy_executable,reporter/census,load_corpus_gated,qualified_attribute,384
experiments/foundry_wire_capability.py,False,legacy_executable,codebook or membership mutation,CONFIG_THESAURUS,qualified_attribute,42
experiments/foundry_wire_capability.py,False,legacy_executable,codebook or membership mutation,REPO_ROOT,qualified_attribute,41
experiments/foundry_wire_capability.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,52
experiments/foundry_wire_experiment.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,50;51
experiments/foundry_wire_experiment.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,114;146
experiments/measure/axis_foundry.py,False,reporter_census,reporter/census,halt,qualified_attribute,297;308;316;319;325;333;355
experiments/measure/axis_foundry.py,False,reporter_census,reporter/census,load_corpus,qualified_attribute,299
experiments/measure/axis_foundry.py,False,reporter_census,reporter/census,resolve_name,qualified_attribute,310
experiments/measure/axis_foundry.py,False,reporter_census,reporter/census,write_json,qualified_attribute,122;192;372
experiments/validate_slug.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,27;338;603
experiments/validate_slug.py,False,legacy_executable,codebook or membership mutation,REPO_ROOT,qualified_attribute,261
experiments/validate_slug.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,263;268;277;289;294;318
experiments/validate_slug.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,604
tests/guards/gate2/foundry_definition_drift.py,False,test_negative_control,test/negative control,FOUNDRY_OUT_DIR,qualified_attribute,56
tests/guards/gate2/foundry_definition_drift.py,False,test_negative_control,test/negative control,REPO_ROOT,qualified_attribute,54
tests/guards/gate2/foundry_definition_drift.py,False,test_negative_control,test/negative control,full_oracle_text,qualified_attribute,235
tests/guards/gate2/foundry_definition_drift.py,False,test_negative_control,test/negative control,load_corpus,qualified_attribute,622
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,CARDNAME_TOKEN,qualified_attribute,144;146;148
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,CONFIG_REGISTERS,qualified_attribute,732
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,CONFIG_SEMANTIC,qualified_attribute,60;61
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,FOUNDRY_OUT_DIR,qualified_attribute,62;653
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,halt,qualified_attribute,759;765;964
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,is_lattice_pattern,qualified_attribute,99;926;928
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,is_prefilter_pattern,qualified_attribute,98;927
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,pattern_misses_cardname_token,qualified_attribute,139
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,pattern_slug,qualified_attribute,927
tests/guards/gate2/foundry_family_sweep.py,False,test_negative_control,test/negative control,write_json,qualified_attribute,687
tests/guards/gate2/foundry_gate_audit.py,False,test_negative_control,test/negative control,load_corpus,qualified_attribute,102
tests/guards/gate2/foundry_gate_audit.py,False,test_negative_control,test/negative control,load_corpus_gated,qualified_attribute,103
tests/guards/gate2/foundry_punctuation_audit.py,False,test_negative_control,test/negative control,REPO_ROOT,qualified_attribute,50
tests/guards/gate2/foundry_punctuation_audit.py,False,test_negative_control,test/negative control,full_oracle_text,qualified_attribute,126
tests/guards/gate2/foundry_punctuation_audit.py,False,test_negative_control,test/negative control,load_corpus_gated,qualified_attribute,91
tests/guards/gate2/foundry_qualifier_census.py,False,test_negative_control,test/negative control,det_scan_texts,qualified_attribute,458;587;626
tests/guards/gate2/foundry_qualifier_census.py,False,test_negative_control,test/negative control,halt,qualified_attribute,138;143;145;155;158;176
tests/guards/gate2/foundry_qualifier_census.py,False,test_negative_control,test/negative control,load_corpus_gated,qualified_attribute,455;582;623
tests/guards/gate2/foundry_reachability.py,False,test_negative_control,test/negative control,REPO_ROOT,qualified_attribute,59;60;196
tests/guards/gate2/foundry_reachability.py,False,test_negative_control,test/negative control,halt,qualified_attribute,94;104;126
tests/guards/gate2/foundry_routing_regression.py,False,test_negative_control,test/negative control,_cardname_candidates,qualified_attribute,213
tests/guards/gate2/foundry_routing_regression.py,False,test_negative_control,test/negative control,halt,qualified_attribute,199;257
tests/guards/gate2/foundry_routing_regression.py,False,test_negative_control,test/negative control,load_corpus_gated,qualified_attribute,67
tests/guards/gate2/foundry_ruling_registry.py,False,test_negative_control,test/negative control,REPO_ROOT,qualified_attribute,85
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,CONFIG_SEMANTIC,qualified_attribute,143
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,REPO_ROOT,qualified_attribute,61
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,_CLASS_LEVEL_RE,qualified_attribute,96
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,_LEVEL_BAND_RE,qualified_attribute,95
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,_is_band_marker,qualified_attribute,292
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,canonicalize_self_reference,qualified_attribute,200;372;375
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,det_scan_texts,qualified_attribute,231;284
tests/guards/gate2/foundry_visibility_audit.py,False,test_negative_control,test/negative control,full_oracle_text,qualified_attribute,232;285;372
